"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Beñat Prados","ESP","MF","La Liga","Athletic Club","23","30","21","1,715",19.1,"1","0","1","0","0","7","0","1.0","1.0","1.1","20","78"
"Abdón Prats","ESP","FW,MF","La Liga","Mallorca","31","24","3","456",5.1,"2","0","1","1","1","4","0","2.2","1.5","0.1","0","7"
"Javi Puado","ESP","FW,MF","La Liga","Espanyol","26","35","35","2,974",33,"12","4","7","5","5","8","0","11.6","7.7","3.0","73","75"
"Dani Raba","ESP","FW,MF","La Liga","Leganés","28","29","24","1,879",20.9,"8","6","4","4","5","6","0","7.5","3.6","5.3","42","69"
"Antonio Raillo","ESP","DF","La Liga","Mallorca","32","36","36","3,207",35.6,"2","0","2","0","0","7","1","2.0","2.0","1.6","31","108"
"Benito Ramírez","ESP","DF,FW","La Liga","Las Palmas","29","19","2","478",5.3,"0","0","0","0","0","2","1","0.3","0.3","0.9","14","16"
"Sandro Ramírez","ESP","FW,MF","La Liga","Las Palmas","29","31","25","2,034",22.6,"9","3","8","1","1","6","0","4.1","3.3","3.4","52","52"
"Raphinha","BRA","FW,MF","La Liga","Barcelona","27","36","32","2,839",31.5,"18","9","16","2","2","4","0","19.2","17.6","12.7","94","135"
"Andrei Ratiu","ROU","DF","La Liga","Rayo Vallecano","26","35","34","3,065",34.1,"2","3","2","0","0","5","0","1.8","1.8","5.7","122","145"
"Raúl","ESP","FW,MF","La Liga","Osasuna","23","32","5","750",8.3,"4","0","4","0","0","1","0","3.5","3.5","0.7","10","16"
"Álex Remiro","ESP","GK","La Liga","Real Sociedad","29","36","36","3,240",36,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","1"
"Diego Rico","ESP","DF","La Liga","Getafe","31","33","32","2,819",31.3,"0","3","0","0","0","9","1","0.4","0.4","2.7","27","136"
"Luis Rioja","ESP","MF,FW","La Liga","Valencia","30","36","33","2,831",31.5,"5","3","3","2","2","6","0","3.3","1.7","4.5","93","103"
"Rodrigo Riquelme","ESP","MF,DF","La Liga","Atlético Madrid","24","16","4","516",5.7,"0","1","0","0","0","0","0","0.9","0.9","0.8","43","24"
"Mihailo Ristić","SRB","DF,MF","La Liga","Celta Vigo","28","10","6","429",4.8,"0","1","0","0","0","1","0","0.0","0.0","0.2","8","10"
"Marc Roca","ESP","MF","La Liga","Betis","27","14","11","906",10.1,"2","2","2","0","0","4","0","1.1","1.1","1.0","11","59"
"Álvaro Rodríguez","URU","FW","La Liga","Getafe","20","22","7","852",9.5,"2","0","2","0","0","6","0","1.2","1.2","0.3","6","13"
"Óscar Rodríguez Arnaiz","ESP","MF,FW","La Liga","Leganés","26","29","12","1,330",14.8,"1","4","1","0","0","6","1","2.1","2.1","2.2","24","60"
"Damián Rodríguez","ESP","MF","La Liga","Celta Vigo","21","17","10","927",10.3,"0","0","0","0","0","3","0","0.1","0.1","0.8","8","71"
"Dani Rodríguez","ESP","MF,FW","La Liga","Mallorca","36","37","26","2,162",24,"4","7","4","0","0","5","0","2.8","2.8","3.1","37","78"
"Javi Rodríguez","ESP","DF","La Liga","Celta Vigo","21","36","26","2,514",27.9,"3","2","3","0","0","7","0","2.3","2.3","1.0","29","114"
"Jesus Rodríguez","ESP","FW","La Liga","Betis","18","21","15","1,111",12.3,"2","0","2","0","0","0","0","2.3","2.3","0.2","53","35"
"Kirian Rodríguez","ESP","MF","La Liga","Las Palmas","28","21","21","1,758",19.5,"0","3","0","0","0","2","0","1.6","1.6","1.5","25","128"
"Ricardo Rodríguez","SUI","DF","La Liga","Betis","31","18","15","1,274",14.2,"0","1","0","0","0","0","0","0.2","0.2","0.4","19","63"
"Rodrygo","BRA","FW,MF","La Liga","Real Madrid","23","30","22","1,928",21.4,"6","5","6","0","0","0","0","4.0","3.9","3.0","113","108"
"Leo Román","ESP","GK","La Liga","Mallorca","24","7","7","630",7,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Carlos Romero","ESP","DF","La Liga","Espanyol","22","34","28","2,554",28.4,"2","1","2","0","0","7","0","2.0","2.0","2.1","50","64"
"Isaac Romero","ESP","FW","La Liga","Sevilla","24","31","26","2,156",24,"4","2","4","0","1","10","1","6.8","6.0","2.1","21","29"
"Oriol Romeu","ESP","MF","La Liga","Girona","32","25","17","1,356",15.1,"0","0","0","0","0","5","0","0.1","0.1","0.3","22","73"
"Vitor Roque","BRA","FW","La Liga","Betis","19","22","14","1,235",13.7,"4","0","4","0","0","4","0","6.1","6.1","1.2","24","17"
"Valentin Rosier","FRA","DF","La Liga","Leganés","27","32","28","2,595",28.8,"1","2","1","0","0","8","0","0.9","0.9","1.1","41","74"
"Antonio Rüdiger","GER","DF","La Liga","Real Madrid","31","29","26","2,291",25.5,"0","0","0","0","0","3","0","1.7","1.7","0.5","20","94"
"Aitor Ruibal","ESP","DF,FW","La Liga","Betis","28","29","13","1,313",14.6,"1","3","1","0","0","5","0","0.9","0.9","2.4","21","50"
"Abel Ruiz","ESP","FW","La Liga","Girona","24","23","17","1,346",15,"4","0","3","1","2","3","0","4.6","3.0","0.5","21","23"
"Youssouf Sabaly","SEN","DF","La Liga","Betis","31","22","20","1,581",17.6,"0","1","0","0","0","1","0","0.2","0.2","0.8","25","62"
"Umar Sadiq","NGA","FW","La Liga","Valencia","27","16","9","825",9.2,"5","0","5","0","0","4","0","3.4","3.4","0.7","9","7"
"Jorge Sáenz","ESP","DF","La Liga","Leganés","27","23","19","1,690",18.8,"1","0","1","0","0","4","1","1.3","1.3","0.1","5","36"
"Kike Salas","ESP","DF","La Liga","Sevilla","22","31","25","2,238",24.9,"3","2","3","0","0","6","0","1.9","1.9","0.6","7","59"
"Albert Sambi Lokonga","BEL","MF","La Liga","Sevilla","24","22","16","1,471",16.3,"0","2","0","0","0","4","0","0.9","0.9","1.0","24","93"
"Chuky san jose","ESP","MF","La Liga","Valladolid","20","18","9","728",8.1,"2","0","2","0","0","1","0","2.2","2.2","1.2","6","15"
"Oihan Sancet","ESP","MF","La Liga","Athletic Club","24","29","19","1,620",18,"15","1","12","3","3","2","0","9.7","7.3","1.9","52","90"
"Antonio Sánchez","ESP","MF,DF","La Liga","Mallorca","27","33","12","1,395",15.5,"0","0","0","0","0","3","0","1.1","1.1","0.6","18","38"
"Iván Sánchez","ESP","MF,FW","La Liga","Valladolid","31","32","11","1,404",15.6,"2","1","2","0","0","4","0","0.7","0.7","2.9","60","77"
"Javi Sánchez","ESP","DF","La Liga","Valladolid","27","25","25","2,026",22.5,"2","0","2","0","0","6","0","0.5","0.5","0.3","4","34"
"Juanlu Sánchez","ESP","MF,DF","La Liga","Sevilla","20","32","18","1,722",19.1,"4","4","4","0","0","6","1","2.1","2.1","2.8","44","68"
"Manu Sánchez","ESP","DF","La Liga","Alavés","23","33","30","2,634",29.3,"1","0","1","0","0","6","1","1.7","1.7","1.2","47","78"
"Maroan Sannadi","MAR","FW","La Liga","Athletic Club","23","16","7","754",8.4,"1","1","1","0","0","0","0","3.5","3.5","0.6","21","15"
"Aleksandar Sedlar","SRB","DF","La Liga","Alavés","32","9","7","594",6.6,"0","0","0","0","0","1","1","0.0","0.0","0.0","2","12"
"Sergi","ESP","DF","La Liga","Leganés","32","36","33","2,957",32.9,"2","0","2","0","0","2","1","1.5","1.5","0.4","3","77"
"Fábio Silva","POR","FW","La Liga","Las Palmas","22","24","22","1,866",20.7,"10","3","8","2","3","7","0","8.8","6.4","2.0","30","26"
"Rui Silva","POR","GK","La Liga","Betis","30","15","15","1,350",15,"0","0","0","0","0","1","0","0.0","0.0","0.1","0","0"
"Giuliano Simeone","ARG","MF","La Liga","Atlético Madrid","21","33","26","1,926",21.4,"2","6","2","0","0","4","0","2.2","2.2","5.2","69","49"
"Unai Simón","ESP","GK","La Liga","Athletic Club","27","21","21","1,890",21,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Jailson Siqueira","BRA","DF,MF","La Liga","Celta Vigo","28","13","6","614",6.8,"0","0","0","0","0","2","0","0.1","0.1","0.0","10","43"
"Antonio Sivera","ESP","GK","La Liga","Alavés","27","32","32","2,810",31.2,"0","0","0","0","0","6","1","0.0","0.0","0.1","0","1"
"Alex Sola","ESP","MF,FW","La Liga","Getafe","25","19","13","1,029",11.4,"0","1","0","0","0","4","0","1.0","1.0","0.7","24","23"
"Jhon Solis","COL","MF","La Liga","Girona","19","19","3","535",5.9,"1","0","1","0","0","3","0","0.7","0.7","0.1","9","29"
"David Soria","ESP","GK","La Liga","Getafe","31","38","38","3,420",38,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","1"
"Juan Soriano","ESP","GK","La Liga","Leganés","26","6","6","540",6,"0","0","0","0","0","1","1","0.0","0.0","0.0","0","0"
"Hugo Sotelo","ESP","MF","La Liga","Celta Vigo","20","24","15","1,254",13.9,"0","0","0","0","0","5","0","0.2","0.2","1.7","21","83"
"Djibril Sow","SUI","MF","La Liga","Sevilla","27","30","24","2,062",22.9,"2","1","2","0","0","5","0","2.4","2.4","1.6","23","100"
"Carl Starfelt","SWE","DF","La Liga","Celta Vigo","29","28","26","2,270",25.2,"1","0","1","0","0","5","0","0.5","0.5","0.2","11","66"
"Orri Steinn Óskarsson","ISL","FW","La Liga","Real Sociedad","19","23","9","944",10.5,"3","0","3","0","0","1","0","5.2","5.2","0.2","6","9"
"Stoichkov","ESP","MF,FW","La Liga","Alavés","30","16","6","699",7.8,"0","1","0","0","0","1","0","1.1","1.1","1.2","9","26"
"Cristhian Stuani","URU","FW","La Liga","Girona","37","32","6","1,078",12,"11","2","8","3","3","4","0","8.1","5.8","0.6","2","10"
"Álex Suárez","ESP","DF","La Liga","Las Palmas","31","30","30","2,460",27.3,"0","0","0","0","0","12","0","0.5","0.5","0.1","6","53"
"Denis Suárez","ESP","MF","La Liga","Villarreal","30","21","7","608",6.8,"1","1","1","0","0","0","0","0.9","0.9","1.5","27","35"
"Luka Sučić","CRO","MF","La Liga","Real Sociedad","21","29","21","1,792",19.9,"1","1","1","0","0","4","0","3.3","3.3","2.6","30","79"
"Suso","ESP","FW,MF","La Liga","Sevilla","30","16","4","606",6.7,"0","2","0","0","0","3","0","0.7","0.7","1.6","20","43"
"Williot Swedberg","SWE","FW,MF","La Liga","Celta Vigo","20","32","15","1,348",15,"4","5","4","0","0","1","0","5.2","5.2","2.6","34","28"
"Mamadou Sylla","SEN","FW,MF","La Liga","Valladolid","30","29","17","1,583",17.6,"5","1","1","4","4","5","0","5.1","2.0","1.7","15","22"
"Wojciech Szczęsny","POL","GK","La Liga","Barcelona","34","15","15","1,350",15,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Alexander Sørloth","NOR","FW","La Liga","Atlético Madrid","28","35","15","1,566",17.4,"20","2","19","1","1","4","0","16.8","16.0","1.6","32","31"
"Renato Tapia","PER","MF,DF","La Liga","Leganés","29","34","28","2,424",26.9,"1","0","1","0","0","8","0","0.6","0.6","0.4","17","83"
"César Tárrega","ESP","DF","La Liga","Valencia","22","34","34","3,026",33.6,"2","0","2","0","0","7","0","1.9","1.9","0.1","20","79"
"Aurélien Tchouaméni","FRA","DF,MF","La Liga","Real Madrid","24","32","31","2,689",29.9,"0","0","0","0","0","5","0","1.7","1.7","0.6","19","154"
"Álvaro Tejero","ESP","MF,DF","La Liga","Espanyol","28","28","13","1,238",13.8,"1","4","1","0","0","2","0","0.6","0.6","2.9","27","46"
"Nahuel Tenaglia","ARG","DF","La Liga","Alavés","28","34","33","2,922",32.5,"2","1","2","0","0","11","0","2.2","2.2","1.6","42","103"
"Marc-André ter Stegen","GER","GK","La Liga","Barcelona","32","8","8","674",7.5,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","2"
"Ramón Terrats","ESP","MF,FW","La Liga","Getafe","23","15","15","1,219",13.5,"4","1","4","0","0","1","0","2.2","2.2","2.5","8","36"
"David Torres","ESP","DF","La Liga","Valladolid","21","18","15","1,387",15.4,"0","0","0","0","0","5","0","0.3","0.3","0.0","11","37"
"Ferrán Torres","ESP","FW,MF","La Liga","Barcelona","24","27","12","1,106",12.3,"10","6","10","0","0","1","1","8.0","8.0","3.1","23","35"
"Lucas Torró","ESP","MF","La Liga","Osasuna","30","35","35","2,957",32.9,"3","0","3","0","0","10","0","2.3","2.3","1.2","10","109"
"Hamari Traoré","MLI","DF","La Liga","Real Sociedad","32","11","9","700",7.8,"0","1","0","0","0","2","0","0.0","0.0","0.2","12","26"
"Óscar Trejo","ARG","MF","La Liga","Rayo Vallecano","36","19","6","496",5.5,"1","0","1","0","0","1","0","0.6","0.6","1.0","15","37"
"Viktor Tsyhankov","UKR","FW,MF","La Liga","Girona","26","27","23","1,913",21.3,"2","5","2","0","0","1","0","2.8","2.8","3.9","62","65"
"Beñat Turrientes","ESP","MF","La Liga","Real Sociedad","22","21","11","942",10.5,"0","0","0","0","0","4","0","0.6","0.6","0.2","18","42"
"Christantus Uche","NGA","FW,MF","La Liga","Getafe","21","33","30","2,486",27.6,"4","6","4","0","0","8","2","3.8","3.8","2.9","43","49"
"Óscar Valentín","ESP","MF","La Liga","Rayo Vallecano","29","34","18","1,835",20.4,"0","0","0","0","0","5","0","0.4","0.4","0.9","13","86"
"Martin Valjent","SVK","DF","La Liga","Mallorca","28","31","31","2,763",30.7,"3","0","3","0","0","4","0","0.8","0.8","0.1","23","91"
"Federico Valverde","URU","MF,DF","La Liga","Real Madrid","26","36","34","3,032",33.7,"6","4","6","0","0","4","0","2.7","2.7","3.1","66","226"
"Ruben Vargas","SUI","FW,MF","La Liga","Sevilla","25","11","9","671",7.5,"2","1","2","0","0","0","0","2.0","2.0","0.8","29","14"
"José Luis García Vayá","ESP","MF","La Liga","Valencia","25","34","18","1,742",19.4,"2","2","0","2","2","8","1","2.1","0.5","2.1","13","142"
"Jesus Vazquez","ESP","DF","La Liga","Valencia","21","19","10","919",10.2,"0","0","0","0","0","3","0","0.1","0.1","0.6","32","21"
"Lucas Vázquez","ESP","DF","La Liga","Real Madrid","33","32","25","2,189",24.3,"1","5","1","0","0","4","0","1.4","1.4","4.7","37","99"
"Alejo Véliz","ARG","FW","La Liga","Espanyol","20","27","10","1,127",12.5,"1","0","1","0","0","3","0","2.3","2.3","0.6","2","8"
"Mikel Vesga","ESP","MF","La Liga","Athletic Club","31","25","10","988",11,"0","0","0","0","1","1","0","1.2","0.4","1.0","10","64"
"Carlos Vicente","ESP","FW,MF","La Liga","Alavés","25","37","35","3,092",34.4,"5","5","4","1","1","3","0","3.5","2.7","5.4","104","68"
"Viti","ESP","DF","La Liga","Las Palmas","26","29","23","1,982",22,"0","2","0","0","0","5","0","0.1","0.1","1.4","43","44"
"Daniel Vivian","ESP","DF","La Liga","Athletic Club","25","32","28","2,608",29,"4","0","4","0","0","3","0","1.9","1.9","0.4","36","185"
"Iñaki Williams","GHA","FW","La Liga","Athletic Club","30","35","29","2,652",29.5,"6","8","6","0","0","1","0","7.6","7.6","7.8","107","76"
"Nico Williams","ESP","FW","La Liga","Athletic Club","22","29","22","1,996",22.2,"5","5","5","0","0","1","0","4.2","4.2","3.5","118","69"
"Axel Witsel","BEL","DF","La Liga","Atlético Madrid","35","14","9","852",9.5,"0","1","0","0","0","1","0","0.0","0.0","0.5","2","21"
"Lamine Yamal","ESP","FW","La Liga","Barcelona","17","35","31","2,856",31.7,"9","13","9","0","0","3","0","9.8","9.8","13.9","181","160"
"Bertuğ Yıldırım","TUR","FW","La Liga","Getafe","22","22","14","1,083",12,"1","0","1","0","0","7","0","2.5","2.5","1.2","8","14"
"Bryan Zaragoza","ESP","FW,MF","La Liga","Osasuna","23","27","22","1,836",20.4,"1","6","1","0","0","4","0","2.7","2.7","3.2","105","50"
"Igor Zubeldia","ESP","DF","La Liga","Real Sociedad","27","28","27","2,269",25.2,"0","0","0","0","0","6","1","0.6","0.6","0.4","22","101"
"Martín Zubimendi","ESP","MF","La Liga","Real Sociedad","25","36","33","2,962",32.9,"2","1","2","0","0","6","0","2.6","2.6","1.1","38","195"
"Tammy Abraham","ENG","FW","Serie A","Milan","26","28","12","1,183",13.1,"3","4","2","1","2","1","0","7.1","5.4","2.2","8","26"
"Francesco Acerbi","ITA","DF","Serie A","Inter","36","23","20","1,710",19,"0","1","0","0","0","0","0","0.4","0.4","0.6","19","62"
"Che Adams","SCO","FW","Serie A","Torino","28","36","30","2,652",29.5,"9","3","9","0","1","2","0","9.0","8.2","2.0","23","40"
"Yacine Adli","FRA","MF","Serie A","Fiorentina","24","25","14","1,219",13.5,"4","6","4","0","0","3","1","1.0","1.0","2.4","24","103"
"Michel Aebischer","SUI","MF","Serie A","Bologna","27","14","9","724",8,"0","0","0","0","0","2","0","0.4","0.4","0.4","8","33"
"Jean-Daniel Akpa-Akpro","CIV","MF","Serie A","Monza","31","14","12","966",10.7,"0","0","0","0","0","4","0","0.3","0.3","0.2","21","19"
"Pontus Almqvist","SWE","FW,MF","Serie A","Parma","25","29","10","1,112",12.4,"1","1","1","0","0","5","0","2.1","2.1","1.3","42","12"
"Giorgio Altare","ITA","DF","Serie A","Venezia","25","12","8","753",8.4,"0","0","0","0","0","2","0","0.2","0.2","0.1","4","20"
"Angeliño","ESP","DF","Serie A","Roma","27","38","36","3,177",35.3,"2","1","2","0","0","1","0","1.4","1.4","3.7","66","172"
"Faustino Anjorin","ENG","MF","Serie A","Empoli","22","22","14","1,114",12.4,"2","3","2","0","0","3","0","0.9","0.9","1.7","28","55"
"Marko Arnautović","AUT","FW","Serie A","Inter","35","17","5","527",5.9,"4","2","4","0","0","1","0","3.3","3.3","1.2","4","16"
"Kristjan Asllani","ALB","MF","Serie A","Inter","22","21","10","980",10.9,"2","2","0","2","2","4","0","2.5","0.9","1.9","7","55"
"Arthur Atta","FRA","MF,FW","Serie A","Udinese","21","27","12","1,251",13.9,"0","1","0","0","0","5","0","1.3","1.3","1.4","31","57"
"Emil Audero","IDN","GK","Serie A","Como","27","8","8","720",8,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Tommaso Augello","ITA","DF","Serie A","Cagliari","29","38","30","2,713",30.1,"0","7","0","0","0","3","0","0.3","0.3","4.6","58","118"
"Carlos Augusto","BRA","DF","Serie A","Inter","25","28","15","1,625",18.1,"3","2","3","0","0","1","0","2.8","2.8","1.6","31","80"
"Yann Aurel Bisseck","GER","DF","Serie A","Inter","23","26","16","1,553",17.3,"3","2","3","0","0","4","0","2.6","2.6","0.9","32","93"
"Paulo Azzi","BRA","DF","Serie A","Cagliari","30","6","5","426",4.7,"0","0","0","0","0","2","0","0.5","0.5","0.9","15","13"
"Milan Badelj","CRO","MF","Serie A","Genoa","35","23","21","1,472",16.4,"1","0","1","0","0","2","0","1.0","1.0","1.1","8","83"
"Tommaso Baldanzi","ITA","MF,FW","Serie A","Roma","21","31","5","832",9.2,"1","1","1","0","0","2","0","1.4","1.4","1.0","39","23"
"Keita Baldé","SEN","FW","Serie A","Monza","29","11","8","638",7.1,"2","0","2","0","0","2","0","1.1","1.1","0.2","19","35"
"Botond Balogh","HUN","DF","Serie A","Parma","22","29","23","2,053",22.8,"0","1","0","0","0","5","0","0.4","0.4","0.1","7","37"
"Lameck Banda","ZAM","FW,MF","Serie A","Lecce","23","15","6","610",6.8,"0","1","0","0","0","1","0","1.2","1.2","1.1","27","7"
"Mattia Bani","ITA","DF","Serie A","Genoa","30","20","19","1,507",16.7,"0","0","0","0","0","3","0","1.2","1.2","0.2","6","25"
"Federico Barba","ITA","DF","Serie A","Como","30","7","5","431",4.8,"0","0","0","0","0","0","0","0.2","0.2","0.0","5","25"
"Nicolò Barella","ITA","MF","Serie A","Inter","27","32","28","2,456",27.3,"3","6","3","0","0","4","0","2.2","2.2","4.5","63","235"
"Federico Baschirotto","ITA","DF","Serie A","Lecce","27","38","38","3,420",38,"2","0","2","0","0","3","0","1.2","1.2","0.2","13","71"
"Alessandro Bastoni","ITA","DF","Serie A","Inter","25","32","30","2,333",25.9,"1","5","1","0","0","6","1","0.8","0.8","2.3","62","162"
"Reda Belahyane","MAR","MF","Serie A","Hellas Verona","20","22","17","1,658",18.4,"0","2","0","0","0","6","1","0.2","0.2","1.0","22","73"
"Raoul Bellanova","ITA","DF","Serie A","Atalanta","24","34","27","2,402",26.7,"0","9","0","0","0","3","0","1.1","1.1","4.7","83","87"
"Andrea Belotti","ITA","FW","Serie A","Como","30","18","7","593",6.6,"2","0","2","0","0","1","0","2.5","2.5","0.4","9","9"
"Lucas Beltrán","ARG","FW,MF","Serie A","Fiorentina","23","32","20","1,864",20.7,"5","4","3","2","3","6","0","5.4","3.1","3.0","23","64"
"Medon Berisha","ALB","MF","Serie A","Lecce","20","17","7","716",8,"0","1","0","0","0","5","0","0.7","0.7","0.6","13","42"
"Adrian Bernabe","ESP","MF","Serie A","Parma","23","21","18","1,453",16.1,"1","1","1","0","0","1","0","1.3","1.3","1.1","37","115"
"Antoine Bernede","FRA","MF","Serie A","Hellas Verona","25","14","7","594",6.6,"1","0","1","0","0","2","0","0.8","0.8","0.5","7","29"
"Sam Beukema","NED","DF","Serie A","Bologna","25","35","33","3,012",33.5,"0","1","0","0","0","1","0","1.5","1.5","0.9","27","153"
"Alessandro Bianco","ITA","MF","Serie A","Monza","21","34","29","2,600",28.9,"1","0","1","0","0","9","0","1.3","1.3","1.2","35","125"
"Jaka Bijol","SVN","DF","Serie A","Udinese","25","34","34","2,963",32.9,"1","0","1","0","0","13","1","2.0","2.0","0.6","22","98"
"Cristiano Biraghi","ITA","DF","Serie A","Torino","31","15","13","1,158",12.9,"0","0","0","0","0","0","0","0.5","0.5","2.7","24","36"
"Cristiano Biraghi","ITA","DF","Serie A","Fiorentina","31","8","5","433",4.8,"1","0","1","0","0","1","0","0.2","0.2","0.3","3","15"
"Samuele Birindelli","ITA","DF,MF","Serie A","Monza","25","21","18","1,468",16.3,"3","0","3","0","0","2","0","2.1","2.1","1.4","40","35"
"Warren Bondo","FRA","MF","Serie A","Monza","20","20","19","1,618",18,"0","0","0","0","0","5","1","0.4","0.4","0.3","25","39"
"Ange-Yoan Bonny","FRA","FW","Serie A","Parma","20","37","30","2,529",28.1,"6","4","4","2","3","2","0","9.4","7.1","2.9","41","53"
"Edoardo Bove","ITA","MF,FW","Serie A","Fiorentina","22","11","10","836",9.3,"1","2","1","0","0","3","0","0.6","0.6","1.5","12","37"
